"","subjectid","activity","feature","axis","count","average"
"1",1,"LAYING","fBodyAcc","X",100,-0.9317682435
"2",1,"LAYING","fBodyAcc","Y",100,-0.85034538064
"3",1,"LAYING","fBodyAcc","Z",100,-0.84777921782
"4",1,"LAYING","fBodyAccJerk","X",100,-0.9606172962
"5",1,"LAYING","fBodyAccJerk","Y",100,-0.9273402401
"6",1,"LAYING","fBodyAccJerk","Z",100,-0.9543239457
"7",1,"LAYING","fBodyAccMag",NA,100,-0.83003429425
"8",1,"LAYING","fBodyBodyAccJerkMag",NA,100,-0.9275521682
"9",1,"LAYING","fBodyBodyGyroJerkMag",NA,100,-0.9375138071
"10",1,"LAYING","fBodyBodyGyroMag",NA,100,-0.84325481254
"11",1,"LAYING","fBodyGyro","X",100,-0.866272812693
"12",1,"LAYING","fBodyGyro","Y",100,-0.9517117721
"13",1,"LAYING","fBodyGyro","Z",100,-0.9129426146
"14",1,"LAYING","tBodyAcc","X",100,-0.35322911263
"15",1,"LAYING","tBodyAcc","Y",100,-0.4386706795247
"16",1,"LAYING","tBodyAcc","Z",100,-0.469632477604
"17",1,"LAYING","tBodyAccJerk","X",100,-0.4386977889
"18",1,"LAYING","tBodyAccJerk","Y",100,-0.4601555347956
"19",1,"LAYING","tBodyAccJerk","Z",100,-0.4720104372195
"20",1,"LAYING","tBodyAccJerkMag",NA,100,-0.9413209465
"21",1,"LAYING","tBodyAccMag",NA,100,-0.81853700818
"22",1,"LAYING","tBodyGyro","X",100,-0.445048480899
"23",1,"LAYING","tBodyGyro","Y",100,-0.507788282144
"24",1,"LAYING","tBodyGyro","Z",100,-0.37979761317
"25",1,"LAYING","tBodyGyroJerk","X",100,-0.512939734996
"26",1,"LAYING","tBodyGyroJerk","Y",100,-0.504712265245
"27",1,"LAYING","tBodyGyroJerk","Z",100,-0.51592014035
"28",1,"LAYING","tBodyGyroJerkMag",NA,100,-0.9496510064
"29",1,"LAYING","tBodyGyroMag",NA,100,-0.84688485888
"30",1,"LAYING","tGravityAcc","X",100,-0.57285590834
"31",1,"LAYING","tGravityAcc","Y",100,-0.10108511665
"32",1,"LAYING","tGravityAcc","Z",100,-0.20327428521
"33",1,"LAYING","tGravityAccMag",NA,100,-0.81853700818
"34",1,"SITTING","fBodyAcc","X",94,-0.978026775957447
"35",1,"SITTING","fBodyAcc","Y",94,-0.930679778404255
"36",1,"SITTING","fBodyAcc","Z",94,-0.946827223617021
"37",1,"SITTING","fBodyAccJerk","X",94,-0.987045008510638
"38",1,"SITTING","fBodyAccJerk","Y",94,-0.982046688297872
"39",1,"SITTING","fBodyAccJerk","Z",94,-0.987196138617021
"40",1,"SITTING","fBodyAccMag",NA,94,-0.93811386212766
"41",1,"SITTING","fBodyBodyAccJerkMag",NA,94,-0.98343415212766
"42",1,"SITTING","fBodyBodyGyroJerkMag",NA,94,-0.988423582234043
"43",1,"SITTING","fBodyBodyGyroMag",NA,94,-0.94531698212766
"44",1,"SITTING","fBodyGyro","X",94,-0.977032845531915
"45",1,"SITTING","fBodyGyro","Y",94,-0.96909181393617
"46",1,"SITTING","fBodyGyro","Z",94,-0.947616692765958
"47",1,"SITTING","tBodyAcc","X",94,-0.35799572143617
"48",1,"SITTING","tBodyAcc","Y",94,-0.461963464783298
"49",1,"SITTING","tBodyAcc","Z",94,-0.522065236659574
"50",1,"SITTING","tBodyAccJerk","X",94,-0.454474095659574
"51",1,"SITTING","tBodyAccJerk","Y",94,-0.490995534052128
"52",1,"SITTING","tBodyAccJerk","Z",94,-0.495639298409149
"53",1,"SITTING","tBodyAccJerkMag",NA,94,-0.985742109787234
"54",1,"SITTING","tBodyAccMag",NA,94,-0.937807602446808
"55",1,"SITTING","tBodyGyro","X",94,-0.511280669852128
"56",1,"SITTING","tBodyGyro","Y",94,-0.52919902512766
"57",1,"SITTING","tBodyGyro","Z",94,-0.439247269829787
"58",1,"SITTING","tBodyGyroJerk","X",94,-0.542705486425532
"59",1,"SITTING","tBodyGyroJerk","Y",94,-0.514864940468085
"60",1,"SITTING","tBodyGyroJerk","Z",94,-0.517319216691489
"61",1,"SITTING","tBodyGyroJerkMag",NA,94,-0.990142534893617
"62",1,"SITTING","tBodyGyroMag",NA,94,-0.932712165212766
"63",1,"SITTING","tGravityAcc","X",94,-0.0684736061702128
"64",1,"SITTING","tGravityAcc","Y",94,-0.365552731638298
"65",1,"SITTING","tGravityAcc","Z",94,-0.308498615212766
"66",1,"SITTING","tGravityAccMag",NA,94,-0.937807602446808
"67",1,"STANDING","fBodyAcc","X",106,-0.995639138867925
"68",1,"STANDING","fBodyAcc","Y",106,-0.97468197490566
